校区ID,清算日期,交易时间,交易参考号,银行卡号,终端号,刷卡金额
102110082991000,2015/6/1,2015/6/1 9:10:25,183689298819,62278*********8025,100048525,10000.00 
102110082991000,2015/6/1,2015/6/1 9:10:26,344776045859,62278*********8026,100048525,5000.00 
102110082991000,2015/6/1,2015/6/1 9:10:26,881044115601,62278*********8027,100048525,5001.00 
102110082991000,2015/6/1,2015/6/1 9:10:27,932839340015,62278*********8028,100048525,5002.00 
102110082991000,2015/6/1,2015/6/1 9:10:27,780738703506,62278*********8029,100048525,5003.00 
102110082991000,2015/6/1,2015/6/1 9:10:28,946498415781,62278*********8030,100048525,5004.00 
102110082991000,2015/6/1,2015/6/1 9:10:28,633859173920,62278*********8031,100048525,5005.00 
102110082991000,2015/6/1,2015/6/1 9:10:29,762077748697,62278*********8032,100048525,5006.00 
102110082991000,2015/6/1,2015/6/1 9:10:29,450266538491,62278*********8033,100048525,5007.00 
102110082991000,2015/6/1,2015/6/1 9:10:30,716327778690,62278*********8034,100048525,5008.00 
102110082991000,2015/6/1,2015/6/1 9:10:30,507260343781,62278*********8035,100048525,5009.00 
102110082991000,2015/6/1,2015/6/1 9:10:31,788412944343,62278*********8036,100048525,5010.00 
102110082991000,2015/6/1,2015/6/1 9:10:31,570524261741,62278*********8037,100048525,5011.00 
102110082991000,2015/6/1,2015/6/1 9:10:32,688341809454,62278*********8038,100048525,5012.00 
102110082991000,2015/6/1,2015/6/1 9:10:32,844938157629,62278*********8039,100048525,5013.00 
102110082991000,2015/6/1,2015/6/1 9:10:33,893399874216,62278*********8040,100048525,5014.00 
102110082991000,2015/6/1,2015/6/1 9:10:33,673528591438,62278*********8041,100048525,5015.00 
102110082991000,2015/6/1,2015/6/1 9:10:34,267544758716,62278*********8042,100048525,5016.00 
102110082991000,2015/6/1,2015/6/1 9:10:34,757442710297,62278*********8043,100048525,5017.00 
102110082991000,2015/6/1,2015/6/1 9:10:35,165488706823,62278*********8044,100048525,5018.00 
102110082991000,2015/6/1,2015/6/1 9:10:35,568478086321,62278*********8045,100048525,5019.00 
102110082991000,2015/6/1,2015/6/1 9:10:36,850613987006,62278*********8046,100048525,5020.00 
102110082991000,2015/6/1,2015/6/1 9:10:36,535902948906,62278*********8047,100048525,5021.00 
102110082991000,2015/6/1,2015/6/1 9:10:37,906274899121,62278*********8048,100048525,5022.00 
102110082991000,2015/6/1,2015/6/1 9:10:37,486042648871,62278*********8049,100048525,5023.00 
102110082991000,2015/6/1,2015/6/1 9:10:38,654178545189,62278*********8050,100048525,5024.00 
102110082991001,2015/6/1,2015/6/1 9:10:38,750475865478,62278*********8051,100048526,5025.00 
102110082991001,2015/6/1,2015/6/1 9:10:39,764231651622,62278*********8052,100048526,5026.00 
102110082991001,2015/6/1,2015/6/1 9:10:39,144767607078,62278*********8053,100048526,5027.00 
102110082991001,2015/6/1,2015/6/1 9:10:40,264969051035,62278*********8054,100048526,5028.00 
102110082991001,2015/6/1,2015/6/1 9:10:40,289667438226,62278*********8055,100048526,5029.00 
102110082991001,2015/6/1,2015/6/1 9:10:41,267651405062,62278*********8056,100048526,5030.00 
102110082991001,2015/6/1,2015/6/1 9:10:41,820542620246,62278*********8057,100048526,5031.00 
102110082991001,2015/6/1,2015/6/1 9:10:42,895161468248,62278*********8058,100048526,5032.00 
102110082991001,2015/6/1,2015/6/1 9:10:42,408444570522,62278*********8059,100048526,5033.00 
102110082991001,2015/6/1,2015/6/1 9:10:43,935292050691,62278*********8060,100048526,5034.00 
102110082991001,2015/6/1,2015/6/1 9:10:43,131350161026,62278*********8061,100048526,5035.00 
102110082991001,2015/6/1,2015/6/1 9:10:44,250209823649,62278*********8062,100048526,5036.00 
102110082991001,2015/6/1,2015/6/1 9:10:44,317752531092,62278*********8063,100048526,5037.00 
102110082991001,2015/6/1,2015/6/1 9:10:45,102250386162,62278*********8064,100048526,5038.00 
102110082991001,2015/6/1,2015/6/1 9:10:45,688878182690,62278*********8065,100048526,5039.00 
102110082991001,2015/6/1,2015/6/1 9:10:46,528740211399,62278*********8066,100048526,5040.00 
